
🇨🇳｜央视频道,#genre#
中央台1,http://39.134.178.24:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228318/42329859.smil/1000.m3u8?t
中央台2,http://39.134.178.24:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228348/42329899.smil/index.m3u8?
中央台3,http://39.134.178.24:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232596/341734363.smil/1000.m3u8?f
中央台4,http://39.134.178.24:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229749/114276458.smil/1000.m3u8?
中央台5,http://39.134.178.24:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232648/341733164.smil/1000.m3u8?
中央台6,http://39.134.178.24:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232599/341734307.smil/index.m3u8?
中央台7,http://39.134.178.24:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228330/42329865.smil/index.m3u8?
中央台8,http://39.134.178.24:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232645/341734473.smil/index.m3u8?
中央台12,http://39.134.178.24:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228312/42329831.smil/index.m3u8?
中央台13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
浙江卫视,http://39.134.178.24:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228324/42329891.smil/index.m3u8?
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
钱江,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8?
湖南卫视,http://39.134.178.24:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228336/42329937.smil/index.m3u8?



遂昌台,http://play-sh.quklive.com/live/1686148715032230.m3u8?time=1705111056871
##
